Sample_ID,Feature_1,Feature_2,Feature_3
0,-10.37,71254.23,-5851.21
1,8.96,70877.53,-2912.83
2,6.74,37898.79,-3752.11
3,6.99,47554.1,-4407.92
4,-2.12,28369.52,-5818.09
5,3.67,22656.25,4709.28
6,-2.93,43712.11,-7858.29
7,6.9,12736.57,-5229.72
8,-3.46,34226.3,-7956.92
9,7.0,8493.54,-3587.05
10,-2.69,14085.11,-9153.46
11,-9.44,19436.73,-5061.17
12,-9.5,33848.04,-6330.35
13,4.73,22180.98,5513.82
14,3.12,61749.82,5620.15
15,8.7,27356.87,-4885.18
16,-9.44,63309.11,-6521.31
17,-4.36,12873.92,-5653.76
18,-7.11,83783.13,-8129.75
19,6.46,25605.97,-4653.57
20,-10.02,40063.85,-4342.09
21,-9.67,30406.9,-5201.78
22,-3.84,31589.24,-6050.47
23,7.13,23873.71,-4728.98
24,1.95,42518.1,6205.08
25,3.3,31960.61,-1583.74
26,-7.67,66085.79,-4841.72
27,-3.16,21662.19,-5641.24
28,-8.75,18843.69,-4667.34
29,2.93,27048.88,-3565.08
30,1.23,36604.32,-1734.94
31,2.54,22370.4,7324.22
32,1.65,38504.94,-974.83
33,1.48,2511.52,-2723.38
34,-9.83,23434.6,-6246.34
35,3.92,31820.41,5913.45
36,-9.68,21775.27,-6232.76
37,-1.7,12712.72,-7672.82
38,0.17,3011.26,-760.74
39,-10.43,53646.68,-6551.72
40,7.07,951.94,-2614.74
41,8.55,7418.27,-3884.26
42,4.6,39006.96,5684.14
43,6.65,34972.81,-4399.22
44,4.19,38837.66,4245.61
45,1.52,58870.49,4513.45
46,3.28,578.9,6850.0
47,-9.19,42914.58,-5945.51
48,-2.71,6843.96,-8157.5
49,6.4,15095.99,-4986.67
50,8.81,32314.08,-3368.67
51,2.22,19359.8,4419.58
52,-3.15,18029.42,-7015.51
53,-8.25,20372.71,-6274.74
54,3.48,46925.82,-3133.31
55,3.12,35339.92,6417.23
56,-9.31,66542.17,-5879.34
57,3.17,24873.28,4700.74
58,8.37,11356.74,-4159.68
59,2.06,19534.88,7807.81
60,-9.03,49214.23,-6571.63
61,8.04,39364.15,-2459.82
62,9.01,9821.14,-4737.04
63,-9.18,41184.02,-5918.42
64,-3.37,34557.33,-6604.97
65,8.81,22100.09,-5413.09
66,-11.4,17311.33,-6194.02
67,2.33,60964.01,4743.91
68,9.7,43177.29,-3037.88
69,1.56,6058.73,-3869.69
70,3.39,22448.56,6458.48
71,-8.49,35018.48,-7365.87
72,5.83,43622.24,-2937.49
73,-7.91,29310.39,-6224.21
74,2.95,38354.54,5220.58
75,-2.04,22507.02,-8494.77
76,1.06,9238.44,-2622.24
77,-1.9,14976.06,-6645.61
78,-10.06,41715.34,-4803.59
79,2.07,54247.57,4479.21
80,-3.46,8634.66,-6483.52
81,-2.89,38732.86,-8874.87
82,6.14,27257.41,-3973.64
83,-4.1,72159.03,-6709.25
84,8.96,6877.18,-2415.18
85,8.05,44162.18,-3803.85
86,3.6,23064.39,6281.27
87,1.04,20065.36,-1742.45
88,2.26,42032.53,6390.79
89,2.44,78760.45,-2920.94
90,1.71,15795.92,-1787.05
91,2.11,45009.91,-5278.22
92,-4.46,5842.06,-6227.08
93,2.03,14477.36,-2015.18
94,7.5,39457.96,-3297.61
95,-8.1,3037.17,-6242.88
96,-4.48,40844.44,-7387.79
97,2.74,8534.32,6540.13
98,-2.98,3195.25,-6785.82
99,3.18,27861.69,-1884.21
100,4.38,38772.0,4842.07
101,1.94,4062.98,6858.31
102,-8.97,10881.71,-4714.41
103,3.22,38965.45,6320.34
104,9.49,54574.99,-3430.5
105,2.38,42776.02,6127.26
106,3.17,46044.39,7017.83
107,1.24,3553.44,-2791.36
108,-3.6,23449.98,-5099.44
109,3.08,47038.29,5401.0
110,1.72,22216.69,-1873.82
111,6.44,39949.92,-2323.43
112,7.35,11777.82,-2258.22
113,0.93,37545.68,100.48
114,-3.27,49253.13,-9549.84
115,-3.3,7792.91,-7845.19
116,2.1,26000.73,-1683.51
117,5.03,29173.88,6535.76
118,-3.39,3512.92,-7489.05
119,-9.67,5404.75,-4367.06
120,8.82,5106.9,-3830.82
121,-8.1,11.03,-5889.14
122,1.08,91196.17,-2115.8
123,7.13,61543.78,-3535.97
124,8.27,2836.29,-4493.03
125,-8.8,42721.18,-8253.17
126,3.29,56082.41,6547.99
127,2.65,19061.5,5985.77
128,-4.29,14684.02,-6383.6
129,1.97,34673.85,-3662.31
130,1.49,4477.69,-3580.27
131,3.42,12510.18,-2448.24
132,2.31,20195.58,-2722.51
133,-3.36,68106.01,-6868.38
134,1.96,42879.44,-2140.16
135,-2.92,35832.09,-7783.9
136,-3.2,40746.03,-7249.04
137,8.08,13414.5,-4868.58
138,0.7,12819.8,-2018.57
139,-8.08,5997.29,-6806.94
140,2.48,7414.35,-1828.28
141,1.72,47171.25,-2964.17
142,2.48,4582.27,5147.23
143,-2.85,60586.14,-8127.22
144,6.02,52545.44,-4137.99
145,1.86,23711.19,-3682.66
146,5.07,4075.32,7060.02
147,-8.32,46326.37,-5552.84
148,2.31,3345.09,5067.02
149,1.73,8788.05,6648.44
150,-5.29,26496.5,-4959.3
151,1.71,66048.79,-743.13
152,-9.48,17129.0,-5394.96
153,3.64,13563.81,5506.27
154,1.35,49848.91,-807.19
155,3.35,30825.75,5993.76
156,6.92,25677.05,-2543.82
157,8.6,44203.51,-4753.71
158,-8.24,24589.32,-6023.1
159,-3.3,553.96,-5448.5
160,2.59,29096.1,4700.93
161,-10.1,30322.61,-6181.96
162,-9.64,652.9,-5545.87
163,0.2,35928.49,-951.97
164,-9.01,6477.96,-3921.04
165,-4.14,22606.32,-7733.79
166,6.3,36269.49,-4062.93
167,2.81,29682.83,7275.25
168,4.44,22101.38,6056.93
169,-3.39,38206.52,-7111.72
170,-3.87,30746.98,-7272.65
171,9.01,906.45,-3334.2
172,1.96,15365.57,-1952.32
173,-10.33,59807.3,-4069.4
174,-8.51,16513.67,-7239.29
175,3.07,52932.08,4595.76
176,2.7,36690.86,5881.66
177,-3.69,50573.2,-6680.35
178,7.73,52887.64,-5667.45
179,-10.2,11125.92,-5908.59
180,-3.84,3813.49,-5119.37
181,9.01,16549.69,-2706.04
182,1.33,52398.8,8251.33
183,6.57,21124.05,-2531.53
184,1.42,34596.66,7679.4
185,3.63,44623.41,3845.59
186,0.98,32127.74,-1992.48
187,1.58,34901.27,-1390.57
188,-7.71,26204.06,-5472.12
189,-2.87,7331.66,-8569.88
190,4.78,68085.79,4744.09
191,-2.98,6415.23,-6632.86
192,-8.31,58974.57,-5701.68
193,-2.86,14792.23,-5717.04
194,7.72,3970.95,-4727.9
195,-0.59,1935.26,-201.25
196,0.6,29936.4,-1262.64
197,-4.9,73440.0,-7624.62
198,2.07,22511.19,5801.39
199,-7.11,43991.88,-4328.44
200,4.51,32500.85,5874.15
201,-3.77,32681.7,-6185.78
202,-9.8,22360.76,-5423.14
203,8.2,39.91,-3210.95
204,3.09,1594.86,7350.78
205,-8.38,58129.96,-4635.9
206,6.38,33658.18,4917.01
207,0.95,18728.27,-1418.59
208,-5.41,34510.16,-7851.24
209,-2.4,38260.13,-5430.29
210,-7.28,29400.7,-5388.55
211,4.13,10318.41,6101.4
212,-9.01,54037.11,-6357.69
213,-8.47,21483.15,-4705.37
214,-9.4,24183.39,-5885.57
215,2.35,2013.34,-1333.52
216,-9.73,61636.53,-5885.83
217,7.7,29485.6,-4150.94
218,2.98,29029.19,7119.56
219,4.31,37231.18,5280.81
220,4.15,40411.27,5319.54
221,2.73,22132.07,-518.78
222,-4.51,34630.52,-7931.01
223,2.78,1780.62,5411.61
224,9.36,34633.22,-4861.72
225,3.93,17237.97,5641.95
226,3.08,50691.18,-3077.89
227,-8.79,27891.31,-7632.4
228,-9.67,28301.63,-7348.84
229,4.19,271.86,-1959.2
230,-8.92,62896.47,-6464.88
231,6.35,29288.32,-5743.06
232,-3.25,23645.72,-6456.11
233,0.73,31835.51,-2759.57
234,-2.89,9476.46,-7300.42
235,1.48,58244.72,3915.23
236,0.34,53995.78,-1133.59
237,-9.19,3842.66,-6393.59
238,-2.32,41785.72,-5679.09
239,2.2,32989.1,-816.53
240,-2.03,41678.1,-6612.37
241,0.95,7615.98,-2801.07
242,3.68,53293.23,6213.22
243,3.46,15330.47,5483.42
244,8.05,1285.37,-3657.45
245,-3.63,40868.82,-7986.22
246,-10.45,32249.79,-6123.46
247,-8.74,668.93,-5529.22
248,-8.62,43721.37,-5764.22
249,-10.01,7846.97,-6587.27
250,-3.01,38607.73,-8531.43
251,-4.73,30071.31,-7130.87
252,6.94,13384.98,-3754.84
253,4.15,63776.12,5448.99
254,7.43,37486.29,-2745.9
255,-2.17,30563.5,-6398.53
256,3.98,33217.67,-3749.96
257,1.79,43382.1,-3247.53
258,-10.64,72782.22,-6620.72
259,-6.96,50844.5,-4765.49
260,-5.42,14105.77,-6845.44
261,0.01,29695.63,-2919.12
262,7.76,7547.39,-1835.24
263,7.11,40938.99,-3430.51
264,-12.42,14066.17,-6254.79
265,-6.38,10548.26,-5047.31
266,-3.4,43823.34,-6538.93
267,-2.94,22702.93,-7066.28
268,-3.2,46854.62,-8654.23
269,-9.91,8521.3,-4364.38
270,3.57,3375.85,4901.08
271,1.02,11775.5,-2738.73
272,2.8,39110.03,-2299.2
273,8.58,25469.0,-3261.21
274,-9.38,42754.22,-7005.23
275,-9.65,49929.43,-5711.15
276,1.19,74892.56,-933.78
277,2.98,19037.87,-1679.55
278,1.9,24024.13,-1264.09
279,3.67,7501.65,5938.39
280,-3.61,5289.11,-8333.2
281,8.99,10644.04,-4730.0
282,6.46,49063.83,-3659.97
283,-10.5,32607.6,-7417.23
284,2.68,873.14,6505.9
285,-3.85,2823.86,-6560.58
286,-3.05,1599.82,-6445.83
287,4.72,35268.17,6595.88
288,-4.12,69438.59,-6262.86
289,-8.99,22381.89,-4402.29
290,2.84,13401.87,6676.08
291,-2.33,55004.81,-6044.99
292,-8.78,42329.39,-5974.21
293,2.86,43037.32,5257.2
294,-10.97,41545.71,-8251.92
295,2.59,43510.32,-1921.96
296,8.8,39219.32,-4641.95
297,-3.39,19371.18,-5913.56
298,0.72,44572.85,-3068.33
299,0.75,36539.63,-2676.28
300,4.0,35682.45,5825.25
301,2.91,27641.01,-1630.48
302,-9.79,68083.28,-5104.2
303,-2.72,3696.5,-5369.83
304,0.58,21556.46,-2308.82
305,-9.71,34966.76,-5409.8
306,2.73,9415.34,5383.94
307,7.37,7163.24,-4796.44
308,-11.58,33937.55,-6762.31
309,0.88,2661.36,-276.59
310,2.14,26043.11,-323.49
311,-4.75,28832.31,-7551.71
312,2.61,5331.25,-934.21
313,4.04,29256.21,5808.88
314,2.87,28989.59,-1198.89
315,-8.12,23013.19,-4488.76
316,6.86,45717.22,-2351.82
317,7.77,77.38,-6423.52
318,1.18,106.79,-179.11
319,6.46,57023.59,-6419.38
320,1.9,875.35,6364.11
321,3.14,33747.13,5061.92
322,1.22,1440.2,-2470.51
323,3.09,20140.83,8482.94
324,7.68,5537.91,-3943.54
325,-2.27,41269.38,-6084.64
326,3.86,33.26,5110.67
327,-8.48,41214.84,-5430.58
328,-9.49,40503.75,-7222.77
329,2.27,25626.19,-3110.89
330,1.89,6104.63,6499.73
331,-3.54,71963.34,-6521.81
332,-1.68,15559.21,-6003.64
333,9.03,37020.63,-4700.58
334,3.67,26122.76,5219.95
335,7.08,29482.67,-2433.24
336,-8.81,52158.86,-5128.42
337,3.3,9679.9,7203.43
338,1.11,42248.38,-3404.74
339,2.52,42530.48,5932.48
340,-3.45,36042.05,-5929.37
341,8.77,22104.48,-4534.64
342,2.42,27251.56,-343.24
343,-9.62,5927.72,-5547.51
344,-8.5,26291.87,-5156.56
345,-4.12,51892.65,-8290.27
346,-9.54,11593.33,-6904.83
347,-9.47,35196.87,-6765.44
348,-7.85,35153.94,-7097.76
349,-9.98,20571.71,-5536.13
350,-1.88,120.23,-2218.12
351,2.38,30765.26,-1761.25
352,2.47,26581.61,5661.16
353,-3.61,68724.5,-7503.64
354,-4.75,47667.19,-5107.27
355,2.97,45761.7,-3475.44
356,8.28,50370.41,-3187.66
357,3.22,30638.75,5433.94
358,-9.63,4918.19,-6741.81
359,0.09,3104.38,-1088.07
360,-8.63,32051.22,-6249.39
361,7.56,56301.0,-3603.93
362,9.34,26079.45,-5583.92
